Line	Field Code	Rule Type	Description
1965	operation_end_timex20	date_check	其他手术操作20结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1966	operation_end_timex21	date_check	其他手术操作21结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1967	operation_end_timex22	date_check	其他手术操作22结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1968	operation_end_timex23	date_check	其他手术操作23结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1969	operation_end_timex24	date_check	其他手术操作24结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1970	operation_end_timex25	date_check	其他手术操作25结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1971	operation_end_timex26	date_check	其他手术操作26结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1972	operation_end_timex27	date_check	其他手术操作27结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1973	operation_end_timex28	date_check	其他手术操作28结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1974	operation_end_timex29	date_check	其他手术操作29结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1975	operation_end_timex30	date_check	其他手术操作30结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1976	operation_end_timex31	date_check	其他手术操作31结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1977	operation_end_timex32	date_check	其他手术操作32结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1978	operation_end_timex33	date_check	其他手术操作33结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1979	operation_end_timex34	date_check	其他手术操作34结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1980	operation_end_timex35	date_check	其他手术操作35结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1981	operation_end_timex36	date_check	其他手术操作36结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1982	operation_end_timex37	date_check	其他手术操作37结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1983	operation_end_timex38	date_check	其他手术操作38结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1984	operation_end_timex39	date_check	其他手术操作39结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
1985	operation_end_timex40	date_check	其他手术操作40结束时间须符合yyyy-MM-dd HH:mm:ss格式，并且大于2017-01-01，小于当前时间
